seed,alpha,method,coverage_overall,miscoverage,miscov_a0,miscov_a1,avg_utility,avg_maxmin,report_avg_maxmin,decision_avg_utility,set_size_mean,fdr_overall,action0_frequency,action1_frequency,rating1_recommend_rate,rating2_recommend_rate
1,0.1,Score-1,0.898,0.10199999999999998,0.09969823584029713,0.11632947976878616,0.1896,0.1402,0.1402,0.1896,2.9039,0.6755416666666667,0.8616,0.1384,0.01386748844375963,0.022090059473237042
1,0.1,Score-2,0.899,0.10099999999999998,0.09934075926346897,0.11314475873544094,0.1681,0.1212,0.1212,0.1681,2.8927,0.6726816666666667,0.8798,0.1202,0.01386748844375963,0.021240441801189464
1,0.15,AC-RAC,0.8547,0.14529999999999998,0.13810483870967738,0.14834851936218674,0.5727,0.86845,0.1593,0.5760164999999999,2.9883,0.703445,0.2976,0.7024,0.3035439137134052,0.39847068819031434
1,0.15,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.15,RAC,0.854,0.14600000000000002,0.0,0.23739837398373986,0.5347,1.0594,0.4444,0.5347,3.3256,0.7156,0.385,0.615,0.29583975346687214,0.33135089209855567
1,0.15,Score-1,0.8467,0.1533,0.15031996865613162,0.16303883909517713,0.2886,0.2423,0.2423,0.2886,2.5484,0.6496833333333334,0.7657,0.2343,0.03852080123266564,0.06627017841971113
1,0.15,Score-2,0.848,0.15200000000000002,0.14881326133366823,0.16445753559155618,0.2537,0.2091,0.2091,0.2537,2.5312,0.6482216666666667,0.7963,0.2037,0.03697996918335902,0.06711979609175871
1,0.2,AC-RAC,0.8058,0.19420000000000004,0.17325227963525835,0.19935210565661599,0.5812,1.0666555,0.2565,0.584899,2.773,0.7031333333333334,0.1974,0.8026,0.4422187981510015,0.5548003398470688
1,0.2,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.2,RAC,0.8004,0.1996,0.0,0.28502070541196634,0.5566,1.2638,0.5635,0.5566,3.0359,0.71141,0.2997,0.7003,0.3929121725731895,0.43500424808836025
1,0.2,Score-1,0.7983,0.2017,0.20256817198095511,0.19973932877158684,0.3567,0.325,0.325,0.3567,2.2751,0.6313083333333334,0.6931,0.3069,0.04930662557781202,0.0994052676295667
1,0.2,Score-2,0.7965,0.20350000000000001,0.20386446373564826,0.20258922323303008,0.3295,0.2992,0.2992,0.3295,2.2407,0.6296,0.7142,0.2858,0.07550077041602465,0.11384876805437553
1,0.25,AC-RAC,0.7495,0.25049999999999994,0.23480083857442346,0.2521556489055936,0.5619,1.246043,0.3358,0.5647305,2.6342,0.714575,0.0954,0.9046,0.6471494607087828,0.7570093457943925
1,0.25,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.25,RAC,0.7416,0.25839999999999996,0.0,0.33064619321817024,0.5564,1.4471,0.6656,0.5564,2.7714,0.7132,0.2185,0.7815,0.5300462249614792,0.5590484282073067
1,0.25,Score-1,0.7488,0.2512,0.25620221563426426,0.24227234753550542,0.4013,0.4006,0.4006,0.4013,2.0468,0.6165833333333333,0.6409,0.3591,0.07704160246533127,0.13169073916737467
1,0.25,Score-2,0.7448,0.2552,0.2583987441130299,0.24958677685950414,0.3908,0.3884,0.3884,0.3908,1.9982,0.6144,0.637,0.363,0.1140215716486903,0.1554800339847069
2,0.005,AC-RAC,0.9876,0.012399999999999967,0.006286672254819825,0.027797325826882435,0.3343,0.195776,-0.0458,0.325048,4.3381,0.7616833333333334,0.7158,0.2842,0.042444821731748725,0.060109289617486336
2,0.005,Best Response,,,,,0.6167,,,,,,0.176,0.824,0.41086587436332767,0.5801457194899818
2,0.005,RAC,0.9962,0.0038000000000000256,0.0,0.0257452574525745,0.1981,0.149,0.0014,0.1981,4.7034,0.7813866666666666,0.8524,0.1476,0.01867572156196944,0.023679417122040074
2,0.005,Score-1,0.9953,0.0047000000000000375,0.004701410423126884,0.0,0.0005,0.0003,0.0003,0.0005,4.4625,0.7717816666666666,0.9997,0.0003,0.0,0.0
2,0.005,Score-2,0.9954,0.0046000000000000485,0.004601380414124279,0.0,0.0005,0.0003,0.0003,0.0005,4.4637,0.7717383333333333,0.9997,0.0003,0.0,0.0
2,0.01,AC-RAC,0.983,0.017000000000000015,0.011178861788617933,0.029884318766066786,0.3581,0.21168850000000003,-0.0624,0.349919,4.247,0.75755,0.6888,0.3112,0.04923599320882852,0.07194899817850638
2,0.01,Best Response,,,,,0.6167,,,,,,0.176,0.824,0.41086587436332767,0.5801457194899818
2,0.01,RAC,0.9928,0.007199999999999984,0.0,0.031537450722733285,0.2849,0.2335,0.0052,0.2849,4.5382,0.7711933333333333,0.7717,0.2283,0.03395585738539898,0.044626593806921674
2,0.01,Score-1,0.9909,0.009099999999999997,0.008917835671342633,0.09999999999999998,0.0032,0.002,0.002,0.0032,4.2453,0.7594683333333333,0.998,0.002,0.0,0.0
2,0.01,Score-2,0.9906,0.009399999999999964,0.00921843687374746,0.09999999999999998,0.0032,0.002,0.002,0.0032,4.2419,0.7591333333333333,0.998,0.002,0.0,0.0
2,0.02,AC-RAC,0.9765,0.023499999999999965,0.019070133963751013,0.03119015047879614,0.4039,0.2472705,-0.0883,0.39778,4.1212,0.7516649999999999,0.6345,0.3655,0.057724957555178265,0.10200364298724955
2,0.02,Best Response,,,,,0.6167,,,,,,0.176,0.824,0.41086587436332767,0.5801457194899818
2,0.02,RAC,0.9841,0.015900000000000025,0.0,0.04747685876381014,0.386,0.3602,0.0253,0.386,4.3049,0.7569133333333333,0.6651,0.3349,0.06451612903225806,0.09289617486338798
2,0.02,Score-1,0.9818,0.018199999999999994,0.018042536034673873,0.03797468354430378,0.013,0.0079,0.0079,0.013,3.9404,0.741575,0.9921,0.0079,0.001697792869269949,0.0
2,0.02,Score-2,0.9808,0.019199999999999995,0.018848906360245943,0.06329113924050633,0.0128,0.0079,0.0079,0.0128,3.9216,0.7402099999999999,0.9921,0.0079,0.001697792869269949,0.0
2,0.05,AC-RAC,0.9524,0.047599999999999976,0.05020576131687238,0.045136186770427966,0.5095,0.3957215,-0.1058,0.5081319999999999,3.7448,0.7337866666666666,0.486,0.514,0.13242784380305603,0.1994535519125683
2,0.05,Best Response,,,,,0.6167,,,,,,0.176,0.824,0.41086587436332767,0.5801457194899818
2,0.05,RAC,0.9531,0.04690000000000005,0.0,0.09686080132176789,0.497,0.6175,0.1333,0.497,3.8983,0.73329,0.5158,0.4842,0.14431239388794567,0.1994535519125683
2,0.05,Score-1,0.9507,0.04930000000000001,0.047739754964089554,0.07706766917293228,0.0808,0.0532,0.0532,0.0808,3.4144,0.7096966666666668,0.9468,0.0532,0.0050933786078098476,0.00273224043715847
2,0.05,Score-2,0.9521,0.047900000000000054,0.04646528214810153,0.07725321888412018,0.0719,0.0466,0.0466,0.0719,3.4243,0.7094066666666667,0.9534,0.0466,0.003395585738539898,0.00273224043715847
2,0.1,AC-RAC,0.9029,0.09709999999999996,0.10140500916310324,0.09500446030330068,0.5871,0.7080835,0.0325,0.589224,3.2229,0.70838,0.3274,0.6726,0.2699490662139219,0.34790528233151186
